iter	Passed	Remaining
0	14	7270
1	27	6840
2	39	6595
3	53	6625
4	67	6636
5	82	6760
6	96	6802
7	111	6828
8	125	6838
9	140	6885
10	156	6973
11	176	7174
12	195	7341
13	215	7487
14	238	7710
15	263	7963
16	287	8161
17	309	8297
18	330	8377
19	351	8437
20	372	8487
21	393	8555
22	414	8601
23	435	8632
24	456	8668
25	477	8713
26	501	8784
27	522	8805
28	542	8817
29	563	8829
30	584	8840
31	606	8866
32	626	8871
33	648	8885
34	667	8869
35	689	8886
36	711	8902
37	734	8927
38	755	8929
39	776	8926
40	797	8930
41	820	8942
42	843	8960
43	866	8980
44	888	8983
45	909	8979
46	935	9018
47	958	9030
48	981	9033
49	1007	9066
50	1031	9080
51	1055	9092
52	1078	9097
53	1100	9092
54	1122	9081
55	1146	9091
56	1169	9088
57	1191	9083
58	1217	9101
59	1239	9090
60	1264	9097
61	1286	9090
62	1308	9076
63	1330	9061
64	1354	9062
65	1376	9051
66	1398	9038
67	1421	9033
68	1445	9030
69	1469	9024
70	1490	9003
71	1514	9003
72	1543	9030
73	1572	9054
74	1601	9072
75	1629	9091
76	1660	9124
77	1688	9132
78	1718	9157
79	1750	9192
80	1780	9208
81	1807	9213
82	1829	9193
83	1851	9170
84	1872	9141
85	1893	9113
86	1914	9087
87	1935	9060
88	1956	9033
89	1977	9006
90	1997	8979
91	2029	9002
92	2054	8990
93	2077	8971
94	2099	8949
95	2122	8932
96	2145	8914
97	2169	8899
98	2190	8873
99	2211	8846
100	2234	8826
101	2255	8802
102	2277	8776
103	2297	8748
104	2318	8720
105	2338	8692
106	2358	8661
107	2378	8633
108	2399	8607
109	2420	8583
110	2441	8557
111	2461	8528
112	2482	8501
113	2504	8479
114	2525	8455
115	2545	8425
116	2567	8405
117	2589	8382
118	2612	8364
119	2634	8342
120	2655	8317
121	2676	8293
122	2697	8267
123	2720	8248
124	2741	8223
125	2762	8198
126	2783	8175
127	2804	8151
128	2824	8123
129	2845	8100
130	2866	8074
131	2887	8049
132	2907	8022
133	2934	8014
134	2960	8004
135	2992	8010
136	3029	8027
137	3163	8299
138	3210	8339
139	3232	8312
140	3254	8285
141	3277	8262
142	3297	8232
143	3319	8205
144	3339	8176
145	3361	8150
146	3381	8119
147	3401	8090
148	3424	8066
149	3444	8037
150	3464	8008
151	3485	7978
152	3506	7951
153	3526	7923
154	3548	7898
155	3570	7873
156	3593	7851
157	3617	7831
158	3640	7807
159	3664	7787
160	3687	7763
161	3710	7740
162	3734	7721
163	3756	7695
164	3780	7675
165	3803	7651
166	3825	7627
167	3847	7602
168	3871	7581
169	3893	7557
170	3915	7533
171	3940	7514
172	3963	7491
173	3984	7465
174	4006	7441
175	4031	7421
176	4060	7410
177	4091	7401
178	4120	7389
179	4153	7383
180	4187	7379
181	4220	7375
182	4253	7368
183	4282	7355
184	4309	7338
185	4334	7317
186	4357	7294
187	4380	7270
188	4402	7244
189	4424	7219
190	4447	7194
191	4469	7169
192	4490	7143
193	4513	7118
194	4533	7091
195	4555	7066
196	4576	7039
197	4597	7011
198	4617	6984
199	4640	6961
200	4664	6938
201	4687	6914
202	4708	6889
203	4732	6866
204	4753	6840
205	4776	6816
206	4800	6794
207	4822	6769
208	4842	6743
209	4866	6721
210	4888	6696
211	4909	6669
212	4931	6644
213	4952	6618
214	4975	6594
215	4996	6569
216	5018	6544
217	5040	6520
218	5062	6496
219	5085	6471
220	5108	6448
221	5131	6425
222	5153	6401
223	5175	6376
224	5196	6351
225	5218	6326
226	5240	6302
227	5263	6278
228	5283	6252
229	5304	6227
230	5326	6202
231	5349	6179
232	5372	6156
233	5395	6133
234	5416	6108
235	5438	6084
236	5460	6059
237	5484	6037
238	5506	6013
239	5529	5990
240	5551	5966
241	5575	5943
242	5596	5918
243	5616	5892
244	5637	5867
245	5660	5844
246	5686	5824
247	5714	5806
248	5738	5784
249	5762	5762
250	5786	5740
251	5810	5718
252	5833	5695
253	5857	5672
254	5881	5650
255	5904	5628
256	5930	5607
257	5953	5584
258	5977	5562
259	6003	5541
260	6029	5520
261	6053	5499
262	6077	5476
263	6103	5455
264	6126	5432
265	6149	5410
266	6174	5388
267	6199	5366
268	6221	5343
269	6245	5320
270	6270	5298
271	6292	5274
272	6315	5251
273	6339	5228
274	6360	5204
275	6384	5181
276	6408	5159
277	6433	5137
278	6457	5115
279	6480	5091
280	6504	5069
281	6526	5045
282	6548	5021
283	6570	4997
284	6594	4974
285	6622	4955
286	6647	4933
287	6669	4909
288	6691	4885
289	6714	4861
290	6735	4837
291	6756	4812
292	6776	4787
293	6798	4763
294	6819	4739
295	6840	4714
296	6862	4690
297	6882	4665
298	6903	4640
299	6924	4616
300	6944	4591
301	6965	4567
302	6985	4542
303	7005	4516
304	7026	4492
305	7047	4467
306	7067	4443
307	7087	4418
308	7108	4394
309	7128	4369
310	7149	4344
311	7170	4320
312	7190	4295
313	7210	4271
314	7232	4247
315	7252	4223
316	7273	4198
317	7294	4174
318	7314	4150
319	7333	4125
320	7354	4101
321	7375	4077
322	7395	4052
323	7415	4028
324	7436	4004
325	7457	3980
326	7475	3955
327	7497	3931
328	7517	3907
329	7537	3882
330	7558	3858
331	7579	3835
332	7596	3809
333	7617	3785
334	7637	3761
335	7657	3737
336	7680	3714
337	7702	3691
338	7721	3667
339	7741	3642
340	7761	3619
341	7781	3595
342	7801	3570
343	7821	3546
344	7841	3522
345	7862	3499
346	7882	3475
347	7904	3452
348	7923	3428
349	7944	3404
350	7963	3380
351	7983	3356
352	8003	3333
353	8025	3309
354	8044	3285
355	8065	3262
356	8085	3238
357	8104	3214
358	8125	3191
359	8145	3167
360	8165	3143
361	8185	3120
362	8205	3096
363	8225	3073
364	8246	3050
365	8266	3026
366	8287	3003
367	8308	2980
368	8328	2956
369	8348	2933
370	8369	2910
371	8389	2886
372	8411	2864
373	8431	2840
374	8451	2817
375	8471	2793
376	8492	2770
377	8512	2747
378	8532	2724
379	8553	2701
380	8572	2677
381	8593	2654
382	8612	2631
383	8632	2607
384	8652	2584
385	8672	2561
386	8694	2538
387	8714	2515
388	8734	2492
389	8754	2469
390	8775	2446
391	8796	2423
392	8816	2400
393	8835	2377
394	8856	2354
395	8876	2331
396	8896	2308
397	8919	2285
398	8956	2267
399	8988	2247
400	9015	2225
401	9054	2207
402	9092	2188
403	9155	2175
404	9194	2156
405	9220	2134
406	9296	2124
407	9329	2103
408	9359	2082
409	9387	2060
410	9418	2039
411	9447	2017
412	9474	1995
413	9501	1973
414	9528	1951
415	9553	1929
416	9581	1907
417	9608	1884
418	9632	1862
419	9658	1839
420	9680	1816
421	9701	1793
422	9724	1770
423	9743	1746
424	9765	1723
425	9786	1700
426	9807	1676
427	9828	1653
428	9850	1630
429	9871	1607
430	9892	1583
431	9914	1560
432	9936	1537
433	9956	1514
434	9978	1490
435	10005	1468
436	10034	1446
437	10060	1424
438	10087	1401
439	10112	1378
440	10136	1356
441	10161	1333
442	10186	1310
443	10217	1288
444	10248	1266
445	10281	1244
446	10307	1222
447	10333	1199
448	10359	1176
449	10384	1153
450	10407	1130
451	10430	1107
452	10455	1084
453	10480	1061
454	10503	1038
455	10530	1016
456	10557	993
457	10580	970
458	10605	947
459	10630	924
460	10654	901
461	10680	878
462	10704	855
463	10729	832
464	10752	809
465	10777	786
466	10799	763
467	10822	740
468	10847	716
469	10871	693
470	10895	670
471	10918	647
472	10942	624
473	10964	601
474	10988	578
475	11013	555
476	11035	532
477	11054	508
478	11077	485
479	11099	462
480	11121	439
481	11143	416
482	11164	392
483	11186	369
484	11208	346
485	11230	323
486	11254	300
487	11278	277
488	11300	254
489	11321	231
490	11341	207
491	11362	184
492	11384	161
493	11405	138
494	11425	115
495	11446	92
496	11468	69
497	11489	46
498	11510	23
499	11531	0
